PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE,WATER,PIPELINE,WL1038,75mm PVC,N/A,N/A,N/A,N/A,75,54.20,FAIR,240,N/A,IN USE,WL1038,PETSANA,"27° 47' 52.766"" S "," 28° 26' 52.253"" N "," 27° 47' 53.729"" S "," 28° 26' 50.596"" N",1187,50 D,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1039,75mm PVC,N/A,N/A,N/A,N/A,75,162.98,FAIR,240,N/A,IN USE,WL1039,PETSANA,"27° 47' 53.729"" S "," 28° 26' 50.596"" N "," 27° 47' 56.624"" S "," 28° 26' 45.612"" N",1188,50 C,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1040,75mm PVC,N/A,N/A,N/A,N/A,75,175.04,FAIR,240,N/A,IN USE,WL1040,PETSANA,"27° 47' 56.624"" S "," 28° 26' 45.612"" N "," 27° 48' 0.288"" S "," 28° 26' 43.278"" N",1189,50 B,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1041,75mm PVC,N/A,N/A,N/A,N/A,75,29.96,FAIR,240,N/A,IN USE,WL1041,PETSANA,"27° 48' 0.288"" S "," 28° 26' 43.278"" N "," 27° 48' 1.105"" S "," 28° 26' 43.872"" N",118,50 A,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1042,75mm PVC,N/A,N/A,N/A,N/A,75,19.21,FAIR,240,N/A,IN USE,WL1042,PETSANA,"27° 48' 1.105"" S "," 28° 26' 43.872"" N "," 27° 48' 1.273"" S "," 28° 26' 44.548"" N",1190,52 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1043,75mm PVC,N/A,N/A,N/A,N/A,75,61.11,FAIR,240,N/A,IN USE,WL1043,PETSANA,"27° 48' 1.273"" S "," 28° 26' 44.548"" N "," 27° 48' 2.816"" S "," 28° 26' 45.423"" N",1191,61 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1044,75mm PVC,N/A,N/A,N/A,N/A,75,296.41,FAIR,240,N/A,IN USE,WL1044,PETSANA,"27° 48' 2.816"" S "," 28° 26' 45.423"" N "," 27° 48' 12.316"" S "," 28° 26' 47.174"" N",1192,53 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1045,75mm PVC,N/A,N/A,N/A,N/A,75,11.21,FAIR,240,N/A,IN USE,WL1045,PETSANA,"27° 48' 12.316"" S "," 28° 26' 47.174"" N "," 27° 48' 12.667"" S "," 28° 26' 47.286"" N",1193,48 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1127,75mm PVC,N/A,N/A,N/A,N/A,75,549.77,FAIR,240,N/A,IN USE,WL1127,PETSANA,"27° 47' 58.498"" S "," 28° 27' 3.995"" N "," 27° 47' 52.766"" S "," 28° 26' 52.253"" N",1267,NYWERHEID STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1128,75mm PVC,N/A,N/A,N/A,N/A,75,67.08,FAIR,240,N/A,IN USE,WL1128,PETSANA,"27° 47' 56.330"" S "," 28° 26' 52.775"" N "," 27° 47' 57.497"" S "," 28° 26' 50.707"" N",1268,VAN BARNEVELD STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1129,75mm PVC,N/A,N/A,N/A,N/A,75,211.97,FAIR,240,N/A,IN USE,WL1129,PETSANA,"27° 47' 57.497"" S "," 28° 26' 50.707"" N "," 27° 48' 1.565"" S "," 28° 26' 52.508"" N",1269,126 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1133,75mm PVC,N/A,N/A,N/A,N/A,75,107.11,FAIR,240,N/A,IN USE,WL1133,PETSANA,"27° 48' 6.811"" S "," 28° 26' 34.987"" N "," 27° 48' 6.932"" S "," 28° 26' 38.897"" N",1286,31 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1134,75mm PVC,N/A,N/A,N/A,N/A,75,77.85,FAIR,240,N/A,IN USE,WL1134,PETSANA,"27° 48' 6.932"" S "," 28° 26' 38.897"" N "," 27° 48' 7.019"" S "," 28° 26' 41.738"" N",1287,25 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1135,75mm PVC,N/A,N/A,N/A,N/A,75,64.81,FAIR,240,N/A,IN USE,WL1135,PETSANA,"27° 48' 7.019"" S "," 28° 26' 41.738"" N "," 27° 48' 7.100"" S "," 28° 26' 44.104"" N",1288,124 AVE,N/A,N/A,N/A,N/A,N/A,WATER
